,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,Type,quality
6055,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,Red Wine,6
3275,8.1,0.25,0.38,3.8,0.051,18,129,0.9928,3.21,0.38,11.5,White Wine,6
1196,7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,White Wine,6
2416,7.6,0.27,0.52,3.2,0.043,28,152,0.99129,3.02,0.53,11.4,White Wine,6
1079,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,White Wine,6
627,5.7,0.24,0.47,6.3,0.069,35,182,0.99391,3.11,0.46,9.75,White Wine,5
5273,6.9,0.23,0.32,16.4,0.045,62,153,0.9972,3.22,0.42,10.5,White Wine,5
4899,7.1,0.25,0.28,1.6,0.052,46,169,0.9926,3.05,0.41,10.5,White Wine,5
2991,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,White Wine,7
2290,6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,White Wine,6
3097,6.4,0.25,0.32,11.3,0.038,69,192,0.99573,3.14,0.5,10.2,White Wine,6
938,5.2,0.24,0.45,3.8,0.027,21,128,0.992,3.55,0.49,11.2,White Wine,8
5559,6.5,0.115,0.29,1.95,0.038,73,166,0.989,3.12,0.25,12.9,White Wine,7
2235,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,Red Wine,6
2344,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,White Wine,5
1073,8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,White Wine,7
3149,7,0.28,0.26,1.7,0.042,34,130,0.9925,3.43,0.5,10.7,White Wine,8
1626,7.9,0.22,0.24,4.6,0.044,39,159,0.9927,2.99,0.28,11.5,White Wine,6
5570,6.4,0.14,0.31,1.2,0.034,53,138,0.99084,3.38,0.35,11.5,White Wine,7
2380,6.8,0.27,0.29,4.6,0.046,6,88,0.99458,3.34,0.48,10.6,White Wine,4
720,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,White Wine,6
6444,6.9,0.38,0.29,13.65,0.048,52,189,0.99784,3,0.6,9.5,White Wine,6
4687,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,Red Wine,7
4686,6.2,0.27,0.32,6.3,0.048,47,159,0.99282,3.21,0.6,11,White Wine,6
3349,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,Red Wine,6
412,8.2,0.3,0.44,12.4,0.043,52,154,0.99452,3.04,0.33,12,White Wine,6
2057,6.8,0.31,0.25,10.5,0.043,30,165,0.9972,3.36,0.55,10.55,White Wine,6
6484,6.8,0.27,0.35,7.8,0.048,76,197,0.9959,3.24,0.43,9.5,White Wine,6
537,7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,White Wine,5
3927,6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,Red Wine,5
2821,7.7,0.46,0.18,3.3,0.054,18,143,0.99392,3.12,0.51,10.8,White Wine,6
3706,7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9,White Wine,6
56,6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,White Wine,7
2886,6.4,0.29,0.21,9.65,0.041,36,119,0.99334,2.99,0.34,10.93333333,White Wine,6
682,7,0.56,0.13,1.6,0.077,25,42,0.99629,3.34,0.59,9.2,Red Wine,5
5116,6.6,0.56,0.15,10,0.037,38,157,0.99642,3.28,0.52,9.4,White Wine,5
6129,7.6,0.22,0.28,12,0.056,68,143,0.9983,2.99,0.3,9.2,White Wine,6
5222,7.2,0.16,0.26,7.1,0.054,41,224,0.9966,3.38,0.55,10.1,White Wine,5
5258,6.2,0.33,0.14,4.8,0.052,27,128,0.99475,3.21,0.48,9.4,White Wine,5
2217,6.8,0.11,0.27,8.6,0.044,45,104,0.99454,3.2,0.37,9.9,White Wine,6
4973,6.8,0.15,0.33,4.7,0.059,31,118,0.9956,3.43,0.39,9,White Wine,7
4068,9.1,0.64,0.23,3.1,0.095,13,38,0.9998,3.28,0.59,9.7,Red Wine,5
2652,9.6,0.655,0.21,2,0.039,21,120,0.99188,3,1,12.6,White Wine,6
3846,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,White Wine,5
3379,6,0.29,0.21,1.3,0.055,42,168,0.9914,3.32,0.43,11.1,White Wine,6
13,6.5,0.32,0.34,5.7,0.044,27,91,0.99184,3.28,0.6,12,White Wine,7
2446,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,Red Wine,6
4016,5.1,0.25,0.36,1.3,0.035,40,78,0.9891,3.23,0.64,12.1,White Wine,7
850,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,White Wine,5
2594,7,0.22,0.26,9.2,0.027,37,122,0.99228,3.06,0.34,12.5,White Wine,8
5420,5,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14,White Wine,7
5242,7.3,0.18,0.29,1.2,0.044,12,143,0.9918,3.2,0.48,11.3,White Wine,7
6426,6.3,0.29,0.28,4.7,0.059,28,81,0.99036,3.24,0.56,12.7,White Wine,8
4657,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,Red Wine,6
3203,7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,White Wine,7
5537,7.2,0.27,0.27,2.4,0.048,30,149,0.9936,3.1,0.51,9.2,White Wine,6
1118,6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,White Wine,5
2010,6.5,0.13,0.27,2.6,0.035,32,76,0.9914,3.21,0.76,11.33333333,White Wine,6
434,8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,Red Wine,6
4774,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,Red Wine,6
5306,7,0.3,0.51,13.6,0.05,40,168,0.9976,3.07,0.52,9.6,White Wine,7
6121,7,0.23,0.36,13,0.051,72,177,0.9972,3.16,0.49,9.8,White Wine,5
3405,9.8,0.98,0.32,2.3,0.078,35,152,0.998,3.25,0.48,9.4,Red Wine,5
2685,7.3,0.26,0.33,17.85,0.049,41.5,195,1,3.06,0.44,9.1,White Wine,7
2583,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,Red Wine,7
3145,6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,Red Wine,6
3555,6.6,0.43,0.24,11.9,0.04,54,159,0.99622,3.14,0.54,9.8,White Wine,6
1852,6.7,0.23,0.33,8.1,0.048,45,176,0.99472,3.11,0.52,10.1,White Wine,6
1325,7.2,0.835,0,2,0.166,4,11,0.99608,3.39,0.52,10,Red Wine,5
685,6,0.16,0.27,12,0.03,39,98,0.99402,3.15,0.34,10.8,White Wine,5
5009,5.9,0.395,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,Red Wine,6
2762,6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,White Wine,6
6233,7.1,0.64,0.49,1.8,0.05,17,128,0.9946,3.31,0.58,10.6,White Wine,4
3440,6.9,0.22,0.31,6.3,0.029,41,131,0.99326,3.08,0.49,10.8,White Wine,6
582,6.7,0.19,0.34,1,0.022,22,94,0.9912,3.23,0.57,11.1,White Wine,6
4985,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,Red Wine,7
6393,7.2,0.31,0.46,5,0.04,3,29,0.9906,3.04,0.53,12.5,White Wine,4
1390,6.5,0.26,0.5,8,0.051,46,197,0.99536,3.18,0.47,9.5,White Wine,5
6123,5.5,0.32,0.13,1.3,0.037,45,156,0.99184,3.26,0.38,10.7,White Wine,5
1327,7.6,0.285,0.32,14.6,0.063,32,201,0.998,3,0.45,9.2,White Wine,5
4833,6,0.17,0.33,6,0.036,30,111,0.99362,3.32,0.58,10.15,White Wine,7
1496,7.4,0.29,0.31,1.7,0.035,23,110,0.9926,3.07,0.38,10.9,White Wine,5
997,6.8,0.21,0.55,14.6,0.053,34,159,0.99805,2.93,0.44,9.2,White Wine,5
2344,9.1,0.28,0.49,2,0.059,10,112,0.9958,3.15,0.46,10.1,White Wine,5
4197,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,White Wine,5
3632,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,Red Wine,7
1475,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,Red Wine,6
5872,7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,White Wine,6
6439,5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,Red Wine,5
3111,7.1,0.23,0.3,2.6,0.034,62,148,0.99121,3.03,0.56,11.3,White Wine,7
3846,5.7,0.255,0.65,1.2,0.079,17,137,0.99307,3.2,0.42,9.4,White Wine,5
5170,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,White Wine,6
3172,8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,Red Wine,4
4015,7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,White Wine,7
5977,7.1,0.31,0.5,14.5,0.059,6,148,0.9983,2.94,0.44,9.1,White Wine,5
4619,7.8,0.32,0.33,10.4,0.031,47,194,0.99692,3.07,0.58,9.6,White Wine,6
1159,7.4,0.19,0.3,12.8,0.053,48.5,229,0.9986,3.14,0.49,9.1,White Wine,7
6071,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,Red Wine,5
6062,7.2,0.34,0.32,2.5,0.09,43,113,0.9966,3.32,0.79,11.1,Red Wine,5
6339,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,White Wine,6
2151,6.6,0.52,0.44,12.2,0.048,54,245,0.9975,3.26,0.54,9.3,White Wine,6
6163,7.3,0.23,0.37,1.8,0.032,60,156,0.992,3.11,0.35,11.1,White Wine,6
4753,6.6,0.34,0.27,6.2,0.059,23,136,0.9957,3.3,0.49,10.1,White Wine,6
1161,6.2,0.2,0.32,2.8,0.05,17,126,0.9936,3.18,0.55,9.4,White Wine,6
1736,11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,Red Wine,6
2768,6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,White Wine,6
844,6.6,0.32,0.22,16.7,0.046,38,133,0.9979,3.22,0.67,10.4,White Wine,6
4056,6.5,0.36,0.16,1.3,0.054,11,107,0.99398,3.19,0.39,8.5,White Wine,5
2920,7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,White Wine,6
1925,5.3,0.4,0.25,3.9,0.031,45,130,0.99072,3.31,0.58,11.75,White Wine,7
3325,5.9,0.18,0.28,1,0.037,24,88,0.99094,3.29,0.55,10.65,White Wine,7
4985,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,Red Wine,7
4415,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,Red Wine,6
5668,7,0.32,0.24,6.2,0.048,31,228,0.9957,3.23,0.62,9.4,White Wine,6
46,7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,White Wine,5
2520,6,0.29,0.41,10.8,0.048,55,149,0.9937,3.09,0.59,10.96666667,White Wine,7
631,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,White Wine,6
659,6.2,0.37,0.24,6.1,0.032,19,86,0.98934,3.04,0.26,13.4,White Wine,8
2367,6.2,0.27,0.26,12.1,0.046,43,127,0.9951,3.16,0.37,10.8,White Wine,6
2131,6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,White Wine,6
2295,7.7,0.23,0.31,10.7,0.038,59,186,0.9969,3.12,0.55,9.5,White Wine,6
2489,7.6,0.26,0.47,1.6,0.068,5,55,0.9944,3.1,0.45,9.6,White Wine,5
2567,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,White Wine,6
483,9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,Red Wine,5
451,7.1,0.24,0.34,1.2,0.045,6,132,0.99132,3.16,0.46,11.2,White Wine,4
5712,6.5,0.34,0.46,1,0.023,6,80,0.98865,3.15,0.54,12.9,White Wine,6
2789,6.2,0.32,0.24,4.1,0.051,34,149,0.99306,3.36,0.52,11,White Wine,5
2442,12.7,0.59,0.45,2.3,0.082,11,22,1,3,0.7,9.3,Red Wine,6
1498,5.4,0.33,0.31,4,0.03,27,108,0.99031,3.3,0.43,12.2,White Wine,7
1830,7.4,0.4,0.41,14.1,0.053,37,194,0.99886,3.2,0.63,9.4,White Wine,6
2130,5.7,0.27,0.16,9,0.053,32,111,0.99474,3.36,0.37,10.4,White Wine,6
3288,6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,White Wine,5
5716,6.4,0.16,0.44,1.2,0.051,39,122,0.99058,3.11,0.75,11.3,White Wine,7
2511,6.1,0.25,0.3,1.2,0.036,42,107,0.991,3.34,0.56,10.8,White Wine,7
2313,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,Red Wine,6
2694,6.4,0.28,0.27,11,0.042,45,148,0.99786,3.14,0.46,8.7,White Wine,5
6018,6.7,0.19,0.32,3.7,0.041,26,76,0.99173,2.9,0.57,10.5,White Wine,7
2621,6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,White Wine,6
5555,7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,White Wine,7
839,8,0.25,0.26,14,0.043,41,248,0.9986,3.03,0.57,8.7,White Wine,6
1475,6.9,0.635,0.17,2.4,0.241,6,18,0.9961,3.4,0.59,10.3,Red Wine,6
3443,6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,White Wine,6
5331,5.9,0.2,0.28,1,0.043,45,100,0.99033,3.4,0.41,11.4,White Wine,6
3437,7.9,0.18,0.37,3,0.061,25,178,0.995,3.22,0.51,10,White Wine,6
2599,7.3,0.48,0.32,2.1,0.062,31,54,0.99728,3.3,0.65,10,Red Wine,7
910,7.9,0.44,0.37,5.85,0.033,27,93,0.992,3.16,0.54,12.6,White Wine,7
6277,7.2,0.24,0.29,2.2,0.037,37,102,0.992,3.27,0.64,11,White Wine,7
3603,12.6,0.31,0.72,2.2,0.072,6,29,0.9987,2.88,0.82,9.8,Red Wine,8
3447,8,0.59,0.71,17.35,0.038,61,228,1,2.95,0.75,9.3,White Wine,5
4290,6.4,0.26,0.25,10.7,0.046,66,179,0.99606,3.17,0.55,9.9,White Wine,6
3825,8.1,0.31,0.24,1.6,0.032,10,67,0.9924,3.08,0.47,10.5,White Wine,5
5802,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,White Wine,8
2026,6.7,0.86,0.07,2,0.1,20,57,0.99598,3.6,0.74,11.7,Red Wine,6
1997,11.9,0.38,0.49,2.7,0.098,12,42,1.0004,3.16,0.61,10.3,Red Wine,5
1432,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,White Wine,5
544,5.9,0.62,0.28,3.5,0.039,55,152,0.9907,3.44,0.44,12,White Wine,6
4710,8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,Red Wine,4
2373,5,0.24,0.34,1.1,0.034,49,158,0.98774,3.32,0.32,13.1,White Wine,7
811,7.3,0.2,0.44,1.4,0.045,21,98,0.9924,3.15,0.46,10,White Wine,7
951,8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,Red Wine,5
1051,6.3,0.13,0.42,1.1,0.043,63,146,0.99066,3.13,0.72,11.2,White Wine,7
618,7.4,0.16,0.27,15.5,0.05,25,135,0.9984,2.9,0.43,8.7,White Wine,7
6144,11.5,0.315,0.54,2.1,0.084,5,15,0.9987,2.98,0.7,9.2,Red Wine,6
273,9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,Red Wine,5
4218,8.9,0.4,0.51,2.6,0.052,13,27,0.995,3.32,0.9,13.4,Red Wine,7
1896,8.6,0.33,0.34,11.8,0.059,42,240,0.99882,3.17,0.52,10,White Wine,6
1382,8.2,0.52,0.34,1.2,0.042,18,167,0.99366,3.24,0.39,10.6,White Wine,5
5711,8.9,0.595,0.41,7.9,0.086,30,109,0.9998,3.27,0.57,9.3,Red Wine,5
2458,6.3,0.33,0.42,17.2,0.037,57,170,0.99884,3.26,0.57,9.4,White Wine,6
1432,6.2,0.32,0.12,4.8,0.054,6,97,0.99424,3.16,0.5,9.3,White Wine,5
2754,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,Red Wine,7
89,5,0.61,0.12,1.3,0.009,65,100,0.9874,3.26,0.37,13.5,White Wine,5
1800,7.8,0.19,0.32,7.4,0.015,47,124,0.99278,2.99,0.39,11,White Wine,6
1974,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,White Wine,6
1214,7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,Red Wine,6
460,5.9,0.17,0.29,3.1,0.03,32,123,0.98913,3.41,0.33,13.7,White Wine,7
2651,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,White Wine,6
4978,6.8,0.18,0.28,9.8,0.039,29,113,0.99406,3.11,0.45,10.9,White Wine,7
2579,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,White Wine,7
2102,6.7,0.31,0.18,7.7,0.043,57,200,0.99566,3.17,0.44,9.4,White Wine,6
1208,7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,Red Wine,5
1914,7.3,0.27,0.37,9.7,0.042,36,130,0.9979,3.48,0.75,9.9,White Wine,6
4728,7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,White Wine,6
2928,6.7,0.18,0.19,4.7,0.046,57,161,0.9946,3.32,0.66,10.5,White Wine,6
1403,6.8,0.19,0.33,4.9,0.047,42,130,0.99283,3.12,0.56,11,White Wine,6
4328,6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,White Wine,5
5310,7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,White Wine,6
3212,6.2,0.26,0.19,3.4,0.049,47,172,0.9924,3.14,0.43,10.4,White Wine,6
5045,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,Red Wine,6
4046,6.9,0.24,0.49,1.3,0.032,35,148,0.9932,3.45,0.57,10.7,White Wine,7
5055,6.8,0.66,0.07,1.6,0.07,16,61,0.99572,3.29,0.6,9.3,Red Wine,5
4945,6.7,0.16,0.32,12.5,0.035,18,156,0.99666,2.88,0.36,9,White Wine,6
5360,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,White Wine,6
1431,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,White Wine,6
4082,5.8,0.15,0.31,5.9,0.036,7,73,0.99152,3.2,0.43,11.9,White Wine,6
4455,7.5,0.33,0.32,11.1,0.036,25,119,0.9962,3.15,0.34,10.5,White Wine,6
3489,7,0.29,0.33,0.9,0.041,20,117,0.99048,3.21,0.5,11.4,White Wine,5
3597,8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,White Wine,4
4053,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,White Wine,6
3756,6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,White Wine,5
4643,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,White Wine,7
78,5.2,0.285,0.29,5.15,0.035,64,138,0.9895,3.19,0.34,12.4,White Wine,8
1042,11.1,0.42,0.47,2.65,0.085,9,34,0.99736,3.24,0.77,12.1,Red Wine,7
6061,6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,White Wine,6
3128,5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,White Wine,6
2935,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,White Wine,5
1079,8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,White Wine,6
1359,7.4,0.29,0.5,1.8,0.042,35,127,0.9937,3.45,0.5,10.2,White Wine,7
3818,7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,Red Wine,6
2110,8.9,0.21,0.34,7.1,0.037,33,150,0.9962,3.1,0.45,9.7,White Wine,6
2410,7.2,0.23,0.33,12.7,0.049,50,183,0.9987,3.41,0.4,9.8,White Wine,5
1718,6.8,0.26,0.24,1.9,0.043,70,154,0.99273,3.18,0.52,10.5,White Wine,5
3946,7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,White Wine,6
3678,6.9,0.27,0.49,23.5,0.057,59,235,1.0024,2.98,0.47,8.6,White Wine,5
2664,5.9,0.22,0.38,1.3,0.046,24,90,0.99232,3.2,0.47,10,White Wine,6
1930,5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,White Wine,6
3832,6.5,0.36,0.31,4.1,0.061,20,134,0.99475,3.18,0.45,9,White Wine,6
5266,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,Red Wine,6
3062,6.1,0.22,0.31,1.4,0.039,40,129,0.99193,3.45,0.59,10.9,White Wine,5
5409,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,White Wine,5
1321,7,0.16,0.25,14.3,0.044,27,149,0.998,2.91,0.46,9.2,White Wine,6
4870,15.6,0.685,0.76,3.7,0.1,6,43,1.0032,2.95,0.68,11.2,Red Wine,7
5091,8.4,0.2,0.27,6.3,0.048,30,143,0.9966,3.25,0.5,9.1,White Wine,6
2745,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,Red Wine,6
749,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,White Wine,7
4546,6.9,0.28,0.37,9.1,0.037,16,76,0.9948,3.05,0.54,11.1,White Wine,5
5494,6.9,0.41,0.33,10.1,0.043,28,152,0.9968,3.2,0.52,9.4,White Wine,5
5743,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,Red Wine,6
3408,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,Red Wine,6
1694,7.1,0.34,0.32,2,0.051,29,130,0.99354,3.3,0.5,10.4,White Wine,6
2301,6.7,0.24,0.41,9.4,0.04,49,166,0.9954,3.12,0.61,9.9,White Wine,6
3698,8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,Red Wine,6
1596,6.9,0.28,0.27,2.1,0.036,42,121,0.9926,3.42,0.49,10.8,White Wine,7
6254,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,White Wine,7
1343,6.8,0.22,0.35,5.5,0.043,21,114,0.9938,3.3,0.53,10.7,White Wine,7
1361,6,0.2,0.26,14.7,0.045,53,125,0.998365,2.99,0.69,9.4,White Wine,6
5407,7.6,0.3,0.22,10.2,0.049,57,191,0.9966,3.08,0.4,9.3,White Wine,6
2747,6.4,0.27,0.45,8.3,0.05,52,196,0.9955,3.18,0.48,9.5,White Wine,5
2552,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,Red Wine,6
1685,6.8,0.31,0.19,3.5,0.086,30,130,0.993,2.83,0.44,9.6,White Wine,5
5565,6.1,0.16,0.34,6.1,0.034,31,114,0.99365,3.32,0.58,10.15,White Wine,7
5207,6.5,0.19,0.34,1.6,0.029,39,116,0.98954,3.21,0.68,12.5,White Wine,6
2545,7.6,0.2,0.34,1.8,0.041,42,148,0.99335,3.35,0.66,11.1,White Wine,6
2683,6.1,0.22,0.23,3.1,0.052,15,104,0.9948,3.14,0.42,8.7,White Wine,5
731,7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,Red Wine,6
779,6,0.27,0.3,14.7,0.044,15,144,0.99666,3.12,0.53,10.3,White Wine,6
899,10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,Red Wine,7
720,6.3,0.19,0.29,5.5,0.042,44,189,0.99304,3.19,0.47,10.3,White Wine,6
4937,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,Red Wine,5
3987,6.1,0.17,0.21,1.9,0.09,44,130,0.99255,3.07,0.41,9.7,White Wine,5
2115,9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,White Wine,4
5193,8.2,0.61,0.45,5.4,0.03,15,118,0.9954,3.14,0.34,9.6,White Wine,5
3178,7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,Red Wine,5
2792,7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,Red Wine,5
3129,6.3,0.35,0.26,17.6,0.061,59,198,0.99918,3.11,0.49,8.8,White Wine,5
229,6.6,0.35,0.34,4.9,0.032,9,125,0.99253,3.32,0.81,12,White Wine,5
303,8,0.34,0.49,9,0.033,39,180,0.9936,3.13,0.38,12.3,White Wine,8
5947,6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,White Wine,5
2708,8.4,0.37,0.43,2.3,0.063,12,19,0.9955,3.17,0.81,11.2,Red Wine,7
2401,7,0.14,0.41,0.9,0.037,22,95,0.9914,3.25,0.43,10.9,White Wine,6
2900,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,Red Wine,5
728,7.6,0.1,0.33,1,0.031,33,93,0.99094,3.06,0.68,11.2,White Wine,6
4070,6.8,0.27,0.32,1.5,0.044,19,142,0.9921,3.1,0.43,9.9,White Wine,6
2567,7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,White Wine,6
1484,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,White Wine,5
5630,6.9,0.32,0.26,2.3,0.03,11,103,0.99106,3.06,0.42,11.1,White Wine,6
3210,8.8,0.64,0.17,2.9,0.084,25,130,0.99818,3.23,0.54,9.6,Red Wine,5
456,6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,White Wine,5
2547,6.8,0.29,0.16,1.4,0.038,122.5,234.5,0.9922,3.15,0.47,10,White Wine,4
3036,8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,Red Wine,5
3826,7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,Red Wine,5
2140,6.6,0.45,0.43,7.2,0.064,31,186,0.9954,3.12,0.44,9.4,White Wine,5
6182,5,0.33,0.18,4.6,0.032,40,124,0.99114,3.18,0.4,11,White Wine,6
464,5.6,0.16,0.27,1.4,0.044,53,168,0.9918,3.28,0.37,10.1,White Wine,6
2926,8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,White Wine,5
2117,8.2,0.56,0.23,3.4,0.078,14,104,0.9976,3.28,0.62,9.4,Red Wine,5
1825,6.4,0.22,0.32,4.9,0.046,50,156,0.99316,3.38,0.55,11.2,White Wine,6
